"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"1","money","128","NA"
"2","value","173","493"
"3","worth","96","400"
"4","price","11","61"
"5","beat","166","NA"
"6","cost","53","323"
"7","spend","156","NA"
"8","paid","268","NA"
"9","buy","27","93"
"10","deal","NA","279"
"11","bucks","NA","NA"
"12","definitely","278","427"
"13","product","113","191"
"14","considering","301","NA"
"15","think","158","51"
"16","pay","171","318"
"17","waste","NA","NA"
"18","believe","NA","NA"
"19","consider","NA","394"
"20","dollars","276","NA"
"21","money"",","NA","NA"
"22","extra","302","NA"
"23","reasonable","333","NA"
"24","best","57","404"
"25","expensive","217","NA"
"26",""",","NA","NA"
"27","certainly","NA","NA"
"28","amazing","61","NA"
"29","opinion","NA","437"
"30","give","NA","166"
"31","steal","NA","NA"
"32","point","NA","137"
"33","recommend","30","NA"
"34","purchase","26","130"
"35","spending","409","NA"
"36","good","254","25"
"37","less","NA","169"
"38","price"",","NA","NA"
"39","overall","NA","132"
"40","
","NA","NA"
"41","really","119","22"
"42","great","4","56"
"43","paying","441","NA"
"44","probably","NA","163"
"45","costs","NA","NA"
"46","buying","84","296"
"47","say","125","136"
"48","get","114","21"
"49","cheaper","190","NA"
"50","much","37","29"
"51","ipad","NA","8"
"52","want","46","19"
"53","expect","NA","207"
"54","bargain","378","NA"
"55","save","NA","NA"
"56","better","NA","45"
"57","another","NA","160"
"58","tablet","NA","182"
"59","offers","317","NA"
"60","happy","34","458"
"61","offer","277","492"
"62","cheap","NA","NA"
"63","awesome","68","NA"
"64","dont","NA","NA"
"65","lot","103","71"
"66","guess","NA","475"
"67","given","NA","391"
"68","real","NA","218"
"69","tag","387","NA"
"70","sell","NA","NA"
"71","least","NA","203"
"72","fair","NA","NA"
"73","seriously","NA","NA"
"74","dollar","NA","NA"
"75","going","NA","86"
"76","investment","418","NA"
"77","one","29","16"
"78","item","NA","NA"
"79","anything","NA","189"
"80","looking","62","219"
"81","especially","421","195"
"82","products","NA","362"
"83","spent","NA","NA"
"84","thing","NA","98"
"85","something","NA","92"
"86","plus","106","399"
"87","features","107","133"
"88","selling","NA","NA"
"89","amazon","3","4"
"90","pad","NA","NA"
"91","meta","NA","NA"
"92","shipping","NA","NA"
"93","bad","NA","257"
"94","fantastic","183","NA"
"95","mind","NA","451"
"96","know","NA","87"
"97","afford","257","NA"
"98","piece","NA","NA"
"99","quality","NA","235"
"100","product"",","NA","NA"
"101","sure","398","118"
"102","made","179","232"
"103","anyone","70","NA"
"104","just","224","12"
"105","list(author","NA","NA"
"106","mean","NA","NA"
"107","now","75","59"
"108","choice","319","NA"
"109","ton","391","NA"
"110","make","NA","55"
"111","still","NA","70"
"112","prime","18","57"
"113","fire","2","1"
"114","mention","NA","NA"
"115","else","NA","379"
"116","amount","NA","NA"
"117","love","5","173"
"118","highly","86","NA"
"119","conclusion","NA","NA"
"120","might","NA","180"
"121","device","NA","3"
"122","half","NA","NA"
"123","wonderful","92","NA"
"124","incredible","350","NA"
