"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"125","feel","NA","171"
"126","everything","32","192"
"127","part","NA","261"
"128","end","NA","308"
"129","getting","115","196"
"130","thanks","235","NA"
"131","stars","NA","256"
"132","glad","100","NA"
"133","affordable","207","NA"
"134","gives","NA","NA"
"135","need","108","54"
"136","must","478","272"
"137","whole","NA","NA"
"138","functionality","NA","270"
"139","course","356","349"
"140","junk","NA","NA"
"141","otherwise","472","NA"
"142","definately","482","NA"
"143","compare","500","472"
"144","sorry","NA","NA"
"145","time","NA","36"
"146","ever","146","431"
"147","idea","NA","NA"
"148","bought","17","312"
"149","far","87","131"
"150","decent","NA","447"
"151","will","NA","10"
"152","big","NA","113"
"153","thought","132","260"
"154","almost","NA","251"
"155","alone","NA","NA"
"156","job","330","NA"
"157","stuff","247","255"
"158","yes","NA","228"
"159","truly","416","NA"
"160","justify","NA","NA"
"161","tell","NA","NA"
"162","return","NA","NA"
"163","nice","NA","73"
"164","ipad"",","NA","NA"
"165","apple","NA","114"
"166","regret","NA","NA"
"167","tablets","NA","NA"
"168","exceptional","NA","NA"
"169","saved","401","NA"
"170","excellent","117","360"
"171","anyway","NA","NA"
"172","experience","NA","63"
"173","hesitate","NA","NA"
"174","pleased","82","NA"
"175","honestly","NA","NA"
"176","tablet"",","NA","NA"
"177","rather","NA","236"
"178","care","NA","NA"
"179","perfect","42","283"
"180","simply","NA","258"
"181","ask","NA","NA"
"182","little","NA","75"
"183","thats","NA","NA"
"184","way","NA","34"
"185","summary","NA","NA"
"186","things","139","47"
"187","wish","59","286"
"188","satisfied","153","NA"
"189","company","NA","NA"
"190","sold","NA","NA"
"191","people","NA","62"
"192","month","69","434"
"193","high","NA","463"
"194","though","NA","91"
"195","even","NA","33"
"196","thinking","326","NA"
"197","pros","NA","371"
"198","well","65","23"
"199","wanted","33","205"
"200","""","NA","NA"
"201","us","NA","NA"
"202","enough","NA","101"
"203","attention","NA","NA"
"204","disappointed","116","244"
"205","like","NA","6"
"206","brand","NA","NA"
"207","absolutely","67","NA"
"208","willing","NA","NA"
"209","performance","NA","NA"
"210","new","430","151"
"211","rate","NA","NA"
"212","refund","NA","NA"
"213","nothing","NA","346"
"214","kindle","1","2"
"215","year","48","NA"
"216","additional","NA","NA"
"217","however","NA","66"
"218","expecting","229","NA"
"219","advice","NA","NA"
"220","=","NA","NA"
"221","done","NA","330"
"222","makes","NA","111"
"223","alot","218","NA"
"224","star","NA","355"
"225","please","NA","NA"
"226","machine","NA","NA"
"227","wait","NA","460"
"228","free","14","40"
"229","fun","78","NA"
"230","sale","NA","NA"
"231","may","NA","108"
"232","hardware","NA","366"
"233","keep","187","162"
"234","thank","199","NA"
"235","reason","NA","242"
"236","life","NA","246"
"237","got","50","344"
"238","totally","225","NA"
"239","expected","124","276"
"240","cash","NA","NA"
"241","basically","NA","NA"
"242","toy","NA","NA"
"243","actually","NA","190"
"244","kind","NA","419"
"245","seller","NA","NA"
"246","""great","NA","NA"
"247","store","102","39"
"248","list(content","NA","NA"
"249","brainer","456","NA"
"250","pretty","NA","116"
"251","budget","440","NA"
"252","go","NA","NA"
"253","happier","221","NA"
"254","compared","NA","277"
"255","priced","346","NA"
"256","low","NA","450"
"257","lots","121","NA"
"258","invest","NA","NA"
"259","hundred","NA","NA"
"260","understand","NA","295"
"261","returning","NA","NA"
"262","bang","NA","NA"
"263","difference","NA","NA"
"264","total","NA","NA"
"265","huge","NA","294"
"266","service","NA","417"
"267","look","NA","127"
"268","wants","182","NA"
"269","come","NA","253"
"270","returned","NA","NA"
"271","wasted","NA","NA"
"272","fact","193","284"
"273","important","NA","401"
"274","membership","181","NA"
"275","said","NA","264"
"276","prices","382","NA"
"277","market","NA","303"
"278","specs","NA","NA"
"279","decide","477","NA"
"280","purchased","35","226"
"281","penny","436","NA"
"282","alternative","NA","NA"
"283","every","104","142"
"284","take","141","211"
"285","inexpensive","259","NA"
"286","everyone","138","NA"
"287","hey","NA","NA"
"288","wise","NA","NA"
"289","making","NA","350"
"290","impressive","NA","NA"
"291","character(0))),","NA","NA"
"292","comparison","NA","NA"
"293","oh","NA","NA"
"294","ones","NA","382"
"295","purchasing","118","442"
"296","either","NA","155"
"297","full","NA","220"
"298","means","NA","315"
"299","giving","NA","NA"
"300","hassle","NA","NA"
"301","shell","NA","NA"
"302","cant","236","NA"
"303","doubt","NA","NA"
"304","comparable","NA","NA"
"305","wrong","NA","484"
"306","tax","NA","NA"
"307","ereader","39","106"
"308","decided","176","NA"
"309","terms","NA","NA"
"310","cheapest","NA","NA"
"311","content","154","24"
"312","higher","NA","NA"
"313","archos","NA","NA"
"314","true","NA","482"
"315","two","NA","109"
"316","mine","274","NA"
"317","advantage","NA","NA"
"318","gotten","354","NA"
"319","shame","NA","NA"
"320","hope","NA","288"
"321","lost","NA","NA"
"322","honest","NA","NA"
"323","twice","NA","NA"
"324","knowing","NA","NA"
"325","trust","NA","NA"
"326","gift","40","NA"
"327","day","81","200"
"328","outstanding","419","NA"
"329","crap","NA","NA"
"330","hoping","NA","491"
"331","let","NA","263"
"332","maybe","NA","202"
"333","customer","NA","NA"
"334","enjoy","63","378"
"335","convenience","NA","NA"
"336","can","9","5"
"337","line","NA","338"
"338","savings","NA","NA"
"339","range","NA","NA"
"340","always","180","208"
"341","personally","NA","NA"
"342","impressed","162","NA"
"343","option","233","152"
"344","chance","NA","NA"
"345","unit","NA","NA"
"346","ok","NA","NA"
"347","already","64","126"
"348","comes","NA","297"
"349","solid","NA","NA"
"350","complain","NA","NA"
"351","trade","NA","NA"
"352","buck","NA","NA"
"353","didnt","NA","NA"
"354","close","NA","377"
"355","asus","NA","NA"
"356","obviously","NA","NA"
"357","complete","NA","NA"
"358","see","NA","46"
"359","model","NA","NA"
"360","xoom","NA","NA"
"361","days","NA","481"
"362","wday","NA","NA"
"363","try","NA","247"
"364","useful","NA","341"
"365","seems","NA","128"
"366","samsung","NA","NA"
"367","gb","NA","NA"
"368","someone","489","459"
"369","keeping","NA","NA"
"370","unless","NA","322"
"371","cool","NA","NA"
"372","sales","NA","NA"
"373","buy"",","NA","NA"
"374","since","80","103"
"375","refunded","NA","NA"
"376","add","370","223"
"377","many","77","43"
"378","business","NA","NA"
"379","unbeatable","NA","NA"
"380","needs","200","140"
"381","ridiculous","NA","NA"
"382","never","NA","221"
"383","galaxy","NA","NA"
"384","quite","NA","164"
"385","find","NA","41"
"386","plan","NA","NA"
"387","nook","44","94"
"388","fast","55","212"
"389","also","19","20"
"390","time"",","NA","NA"
"391","suggest","NA","NA"
"392","bet","NA","NA"
"393","gladly","NA","NA"
"394","away","NA","348"
"395","use","12","13"
"396","potential","NA","NA"
"397","instead","NA","233"
"398","sense","NA","NA"
"399","nearly","NA","NA"
"400","garbage","NA","NA"
"401","week","NA","NA"
"402","reviews","110","186"
"403","limited","NA","167"
"404","gave","303","NA"
"405","okay","NA","NA"
"406","apps","24","9"
"407","storage","NA","100"
"408","available","175","48"
"409","competition","NA","NA"
"410","transformer","NA","NA"
"411","second","NA","406"
"412","tab","NA","NA"
"413","fire"",","NA","NA"
"414","extremely","285","428"
"415","months","NA","NA"
"416","build","NA","NA"
"417","android","NA","69"
"418","deal"",","NA","NA"
"419","fraction","NA","NA"
"420","whether","NA","NA"
"421","cons","NA","267"
"422","killer","NA","NA"
"423","put","NA","254"
"424","10.4731829166412,","NA","NA"
"425","technology","290","NA"
"426","accessories","NA","NA"
"427","offered","351","NA"
"428","worthless","NA","NA"
"429","hard","NA","201"
"430","super","223","NA"
"431","amazoncom","295","NA"
"432","considered","NA","NA"
"433","first","NA","53"
"434","memory","NA","339"
"435","speed","NA","359"
"436","lose","NA","NA"
"437","gadget","321","NA"
"438","effort","NA","NA"
"439","disappointment","NA","NA"
"440","although","NA","199"
"441","without","94","74"
"442","10.4383990764618,","NA","NA"
"443","119,","NA","NA"
"444","christmas","25","NA"
"445","worlds","NA","NA"
"446","decision","NA","NA"
"447","imagine","NA","NA"
"448","weeks","NA","NA"
"449","device"",","NA","NA"
"450","functional","NA","NA"
"451","used","392","65"
"452","fortune","NA","NA"
"453","reliable","NA","NA"
"454","thrilled","250","NA"
"455","long","214","147"
"456","winner","NA","NA"
"457","amazon"",","NA","NA"
"458","powerful","NA","NA"
"459","character(0),","NA","NA"
"460","poor","NA","NA"
"461","saving","NA","NA"
"462","frustration","NA","NA"
"463","refurbished","NA","NA"
"464","tons","231","NA"
"465","one"",","NA","NA"
"466","hundreds","363","NA"
"467","breaker","NA","NA"
"468","9.64567589759827,","NA","NA"
"469","user","NA","90"
"470","work","NA","76"
"471","customers","NA","NA"
"472","order","NA","408"
"473","11.048868894577,","NA","NA"
"474","world","NA","NA"
"475","points","NA","NA"
"476","exactly","210","NA"
"477","ease","155","NA"
"478","research","266","NA"
"479","weight","NA","363"
"480","10.1495499610901,","NA","NA"
"481","note","NA","NA"
"482","kids","52","358"
"483","g","NA","NA"
"484","rating","NA","NA"
"485","laptop","NA","319"
"486","yet","NA","185"
"487","tag"",","NA","NA"
"488","10.4538021087646,","NA","NA"
"489","factor","NA","471"
"490","entertainment","212","NA"
"491","elsewhere","NA","NA"
"492","electronic","226","NA"
"493","wanting","275","NA"
"494","short","NA","352"
"495","family","95","NA"
"496","friendly","147","NA"
"497","ipads","NA","NA"
"498","advertised","NA","NA"
"499","battery","NA","273"
"500","realize","NA","NA"
