"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"193","another","NA","185"
"194","everything","230","118"
"195","believe","444","NA"
"196","heavy","NA","498"
"197","screen","10","5"
"198","feel","227","387"
"199","works","11","18"
"200","android","2","2"
"201","wanted","NA","153"
"202","cards","269","NA"
"203","care","NA","NA"
"204","room","NA","NA"
"205","load","492","147"
"206","using","33","37"
"207","ipad","NA","173"
"208","access","NA","70"
"209","possible","NA","NA"
"210","movies","NA","95"
"211","tablets","7","39"
"212","smaller","NA","NA"
"213","go","NA","NA"
"214","alot","NA","NA"
"215","always","NA","461"
"216","left","464","NA"
"217","ssd","NA","NA"
"218","user","NA","321"
"219","almost","347","234"
"220","difference","293","NA"
"221","free","NA","86"
"222","done","NA","397"
"223","awesome","191","346"
"224","carry","NA","NA"
"225","fill","NA","NA"
"226","cost","418","370"
"227","move","NA","462"
"228","data","368","442"
"229","capabilities","NA","NA"
"230","long","NA","225"
"231","getting","NA","162"
"232","said","NA","317"
"233","problems","NA","136"
"234","work","21","16"
"235","due","212","469"
"236","buy","253","80"
"237","useful","366","402"
"238","os","NA","NA"
"239","functionality","NA","493"
"240","goes","NA","NA"
"241","power","119","255"
"242","part","NA","NA"
"243","sufficient","NA","NA"
"244","downside","NA","NA"
"245","disk","NA","NA"
"246","model","147","333"
"247","archos","38","22"
"248","port","55","219"
"249","mean","NA","NA"
"250","money","NA","164"
"251","love","NA","423"
"252","hold","NA","NA"
"253","adding","NA","NA"
"254","installed","46","54"
"255","basically","NA","454"
"256","issues","91","151"
"257","let","NA","358"
"258","video","20","15"
"259","games","116","47"
"260","necessary","NA","NA"
"261","portable","225","NA"
"262","light","155","319"
"263","worth","328","196"
"264","figured","NA","NA"
"265","videos","97","43"
"266","internet","NA","48"
"267","others","241","261"
"268","consider","NA","NA"
"269","laptop","142","352"
"270","takes","339","217"
"271","usage","427","NA"
"272","got","NA","72"
"273","windows","31","NA"
"274","amazing","204","460"
"275","responsive","87","129"
"276","given","NA","NA"
"277","powerful","376","NA"
"278","store","NA","71"
"279","actual","NA","NA"
"280","noticed","NA","NA"
"281","pay","NA","300"
"282","software","47","115"
"283","concerned","NA","NA"
"284","keyboard","16","233"
"285","hardware","96","210"
"286","allows","NA","NA"
"287","read","NA","127"
"288","touch","NA","35"
"289","alone","NA","NA"
"290","phone","80","46"
"291","made","130","247"
"292","wifi","81","26"
"293","fire","NA","NA"
"294","sound","104","112"
"295","reason","NA","254"
"296","true","NA","NA"
"297","bother","NA","NA"
"298","resolution","92","230"
"299","market","6","9"
"300","clear","414","373"
"301","faster","150","301"
"302","runs","94","180"
"303","hdmi","70","181"
"304","two","332","188"
"305","expanded","NA","NA"
"306","complaint","NA","NA"
"307","along","387","NA"
"308","quality","17","76"
"309","play","35","24"
"310","slow","452","78"
"311","instead","391","296"
"312","type","NA","385"
"313","version","69","88"
"314","whatever","NA","NA"
"315","half","NA","466"
"316","try","NA","177"
"317","simply","NA","NA"
"318","plan","NA","NA"
"319","never","NA","407"
"320","capability","NA","NA"
"321","side","174","278"
"322","dont","NA","329"
"323","except","374","465"
"324","tons","NA","NA"
"325","number","NA","NA"
"326","else","NA","347"
"327","hand","NA","NA"
"328","content","NA","NA"
"329","devices","NA","168"
"330","lag","198","NA"
"331","close","348","408"
"332","helps","491","NA"
"333","save","NA","434"
"334","ton","NA","NA"
"335","otherwise","NA","NA"
"336","bluetooth","58","243"
"337","help","NA","410"
"338","usually","NA","NA"
"339","making","NA","NA"
"340","quickly","NA","316"
"341","download","NA","34"
"342","connectivity","435","NA"
"343","cause","NA","NA"
"344","cpu","271","NA"
"345","solid","95","411"
"346","change","NA","436"
"347","looking","63","89"
"348","purchase","NA","274"
"349","twice","NA","NA"
"350","addition","NA","NA"
"351","normal","443","NA"
"352","allow","NA","342"
"353","reasonable","NA","NA"
"354","graphics","188","NA"
"355","netbook","86","NA"
"356","operating","128","235"
"357","tell","NA","NA"
"358","surprised","NA","NA"
"359","bought","NA","83"
"360","install","44","40"
"361","pictures","218","271"
"362","upgraded","240","NA"
"363","best","27","138"
"364","single","NA","NA"
"365","loaded","273","272"
"366","considering","265","NA"
"367","nothing","NA","443"
"368","easier","NA","NA"
"369","case","52","167"
"370","happy","251","193"
"371","expensive","226","382"
"372","perhaps","NA","NA"
"373","worry","NA","NA"
"374","tab","19","224"
"375","first","NA","67"
"376","expected","372","380"
"377","require","NA","NA"
"378","recommend","120","160"
"379","gets","312","428"
"380","holds","NA","NA"
"381","users","NA","NA"
"382","files","117","56"
"383","notice","NA","NA"
"384","media","274","140"
"385","tiny","NA","NA"
"386","ones","NA","360"
"387","charge","115","215"
"388","offer","NA","NA"
"389","start","NA","314"
"390","capable","490","NA"
"391","extremely","NA","NA"
"392","longer","NA","NA"
"393","note","190","497"
"394","xoom","39","NA"
"395","mine","NA","273"
"396","books","NA","NA"
"397","annoying","NA","478"
"398","fit","NA","NA"
"399","processing","489","NA"
"400","personally","NA","NA"
"401","look","346","174"
"402","pc","NA","NA"
"403","thrive","67","NA"
"404","certainly","NA","NA"
"405","speakers","126","199"
"406","imagine","NA","NA"
"407","standard","200","447"
"408","web","NA","49"
"409","figure","NA","468"
"410","included","113","280"
"411","realize","NA","NA"
"412","end","210","320"
"413","regular","NA","NA"
"414","spend","NA","376"
"415","hours","49","94"
"416","complaints","NA","NA"
"417","fun","NA","NA"
"418","leave","NA","NA"
"419","idea","NA","NA"
"420","reader","NA","93"
"421","value","276","494"
"422","sometimes","NA","238"
"423","ddr","NA","NA"
"424","kindle","NA","NA"
"425","opinion","356","NA"
"426","open","NA","265"
"427","volume","NA","336"
"428","speaker","185","400"
"429","cameras","203","NA"
"430","matter","NA","NA"
"431","uses","353","349"
"432","obviously","NA","NA"
"433","gps","51","144"
"434","quick","327","310"
"435","app","313","6"
"436","cheap","148","150"
"437","convenient","NA","NA"
"438","touchscreen","165","203"
"439","box","205","139"
"440","whole","NA","NA"
"441","main","NA","365"
"442","hope","NA","415"
"443","browsing","NA","190"
"444","display","NA","359"
"445","sort","NA","NA"
"446","perfectly","206","405"
"447","application","NA","283"
"448","slots","NA","NA"
"449","someone","NA","NA"
"450","amazon","NA","106"
"451","enjoy","NA","NA"
"452","difficult","NA","492"
"453","stars","358","299"
"454","working","424","206"
"455","okay","NA","NA"
"456","ease","NA","NA"
"457","line","NA","NA"
"458","support","156","66"
"459","says","NA","430"
"460","limit","NA","NA"
"461","watch","NA","116"
"462","player","76","55"
"463","simple","NA","277"
"464","significant","NA","NA"
"465","offers","NA","NA"
"466","extended","NA","NA"
"467","useable","NA","NA"
"468","removable","NA","NA"
"469","plug","114","268"
"470","often","NA","NA"
"471","update","48","57"
"472","cool","NA","500"
"473","chip","454","NA"
"474","feature","NA","416"
"475","beat","NA","NA"
"476","mini","167","353"
"477","remove","NA","NA"
"478","handy","NA","NA"
"479","core","186","NA"
"480","set","NA","197"
"481","certain","NA","NA"
"482","form","NA","NA"
"483","hands","NA","NA"
"484","front","118","364"
"485","seen","386","NA"
"486","place","NA","331"
"487","reading","NA","340"
"488","remember","NA","NA"
"489","acceptable","412","NA"
"490","fair","NA","NA"
"491","ever","NA","NA"
"492","unlimited","NA","NA"
"493","x","NA","NA"
"494","sdhc","NA","NA"
"495","came","NA","253"
"496","gbs","NA","NA"
"497","movie","NA","290"
"498","basic","428","303"
"499","downloaded","NA","120"
"500","total","NA","NA"
