"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"1","memory","30","61"
"2","enough","255","121"
"3","storage","140","123"
"4","space","64","308"
"5","internal","143","182"
"6","plenty","303","459"
"7","sd","NA","NA"
"8","gb","NA","NA"
"9","need","84","44"
"10","ram","88","281"
"11","can","9","4"
"12","card","13","28"
"13","small","NA","216"
"14","though","208","85"
"15","sure","NA","142"
"16","means","343","322"
"17","still","53","68"
"18","also","14","23"
"19","although","135","242"
"20","yes","NA","356"
"21","think","NA","97"
"22","size","151","176"
"23","little","354","31"
"24","slot","65","192"
"25","much","109","38"
"26","lot","451","77"
"27","might","NA","276"
"28","even","102","29"
"29","hard","132","133"
"30","big","NA","165"
"31","drive","57","202"
"32","amount","NA","NA"
"33","probably","389","223"
"34","cons","50","126"
"35","add","232","294"
"36","limited","450","155"
"37","really","NA","32"
"38","however","107","104"
"39","least","484","350"
"40","may","138","152"
"41","plus","105","270"
"42","microsd","166","275"
"43","put","NA","156"
"44","extra","124","372"
"45","make","238","102"
"46","wish","NA","486"
"47","fact","439","374"
"48","nice","45","50"
"49","thing","NA","53"
"50","seems","137","103"
"51","yet","125","137"
"52","things","NA","132"
"53","capacity","NA","NA"
"54","expandable","383","NA"
"55","without","79","81"
"56","mb","NA","NA"
"57","get","93","11"
"58","use","8","10"
"59","want","NA","33"
"60","bit","106","113"
"61","actually","458","186"
"62","course","NA","NA"
"63","usable","NA","NA"
"64","gig","292","NA"
"65","seem","NA","262"
"66","see","NA","108"
"67","large","419","467"
"68","just","NA","17"
"69","stuff","NA","312"
"70","device","NA","8"
"71","battery","4","27"
"72","gigs","NA","NA"
"73","way","NA","101"
"74","will","43","13"
"75","needed","336","378"
"76","comes","42","90"
"77","makes","180","305"
"78","lots","306","354"
"79","external","99","256"
"80","anyway","NA","437"
"81","good","3","7"
"82","micro","89","119"
"83","great","5","12"
"84","point","242","286"
"85","run","41","73"
"86","come","373","184"
"87","like","NA","14"
"88","handle","471","NA"
"89","needs","406","284"
"90","know","NA","111"
"91","able","100","52"
"92","additional","393","NA"
"93","something","NA","117"
"94","life","18","74"
"95","time","NA","42"
"96","real","219","245"
"97","deal","235","232"
"98","anything","NA","149"
"99","going","NA","179"
"100","added","294","432"
"101","pretty","75","59"
"102","now","77","45"
"103","easily","173","178"
"104","system","40","92"
"105","find","NA","64"
"106","ok","NA","NA"
"107","tablet","1","1"
"108","apps","29","3"
"109","rather","NA","446"
"110","decent","122","172"
"111","well","15","20"
"112","guess","NA","NA"
"113","applications","168","145"
"114","maybe","NA","339"
"115","understand","NA","NA"
"116","larger","NA","NA"
"117","speed","215","207"
"118","important","NA","NA"
"119","far","62","96"
"120","quite","98","175"
"121","upgrade","85","249"
"122","overall","68","124"
"123","used","83","79"
"124","available","NA","87"
"125","expand","NA","NA"
"126","less","112","208"
"127","adequate","NA","NA"
"128","fine","90","60"
"129","full","25","110"
"130","kind","NA","388"
"131","people","NA","209"
"132","take","388","220"
"133","unit","195","91"
"134","especially","278","420"
"135","one","NA","21"
"136","either","NA","269"
"137","huge","NA","NA"
"138","expansion","395","NA"
"139","onboard","NA","NA"
"140","flash","32","30"
"141","increase","NA","NA"
"142","issue","146","195"
"143","ability","NA","NA"
"144","price","23","25"
"145","processor","74","191"
"146","fast","37","82"
"147","running","54","131"
"148","stick","465","NA"
"149","board","NA","NA"
"150","lack","NA","386"
"151","performance","59","229"
"152","bad","163","100"
"153","unless","NA","427"
"154","better","28","36"
"155","machine","131","NA"
"156","give","NA","239"
"157","g","NA","NA"
"158","bigger","NA","NA"
"159","keep","NA","237"
"160","ports","145","NA"
"161","features","197","293"
"162","around","159","134"
"163","easy","337","69"
"164","options","350","NA"
"165","definitely","211","418"
"166","problem","NA","98"
"167","since","141","114"
"168","say","NA","148"
"169","weight","202","NA"
"170","option","NA","472"
"171","complain","NA","NA"
"172","found","127","75"
"173","camera","24","62"
"174","many","134","65"
"175","thought","NA","381"
"176","mind","NA","463"
"177","usb","12","41"
"178","programs","136","326"
"179","cloud","NA","NA"
"180","right","322","107"
"181","gives","469","NA"
"182","built","71","157"
"183","pros","66","159"
"184","mention","NA","NA"
"185","expect","381","248"
"186","music","NA","51"
"187","low","103","187"
"188","etc","170","128"
"189","already","NA","328"
"190","perfect","176","288"
"191","must","318","311"
"192","computer","289","211"
