"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"1","wifi","4","60"
"2","connection","71","458"
"3","wireless","91","310"
"4","network","150","NA"
"5","connect","50","NA"
"6","connected","80","NA"
"7","internet","18","304"
"8","signal","197","NA"
"9","connectivity","NA","NA"
"10","connections","NA","NA"
"11","router","116","NA"
"12","g","NA","NA"
"13","connecting","275","NA"
"14","connects","NA","NA"
"15","hotspot","NA","NA"
"16","house","279","NA"
"17","anywhere","NA","NA"
"18","home","190","160"
"19","reception","NA","NA"
"20","always","NA","254"
"21","without","391","82"
"22","networks","NA","NA"
"23","gps","NA","125"
"24","problems","22","492"
"25","range","NA","NA"
"26","fine","187","286"
"27","even","16","31"
"28","access","NA","376"
"29","problem","9","253"
"30","seems","NA","150"
"31","set","154","313"
"32","pick","NA","NA"
"33","devices","NA","137"
"34","bluetooth","NA","109"
"35","drops","NA","NA"
"36","speed","63","194"
"37","work","10","41"
"38","however","238","104"
"39","works","NA","68"
"40","also","NA","14"
"41","though","NA","103"
"42","phone","132","65"
"43","use","NA","4"
"44","tried","23","480"
"45","strength","NA","NA"
"46","modem","NA","NA"
"47","using","NA","30"
"48","issues","54","134"
"49","weak","NA","NA"
"50","either","324","259"
"51","still","32","34"
"52","strong","NA","NA"
"53","course","NA","308"
"54","via","NA","369"
"55","setting","500","NA"
"56","device","NA","23"
"57","worked","33","NA"
"58","fast","NA","64"
"59","setup","414","NA"
"60","able","101","187"
"61","turned","156","NA"
"62","issue","44","144"
"63","get","3","19"
"64","web","NA","162"
"65","find","209","102"
"66","need","NA","37"
"67","data","NA","291"
"68","often","NA","NA"
"69","slow","140","477"
"70","fact","NA","220"
"71","used","NA","44"
"72","go","NA","NA"
"73","found","126","172"
"74","trouble","202","NA"
"75","turn","103","NA"
"76","hotspots","NA","NA"
"77","point","333","189"
"78","unless","360","NA"
"79","hot","NA","NA"
"80","spot","NA","NA"
"81","plan","NA","394"
"82","disconnect","NA","NA"
"83","time","8","36"
"84","unit","24","271"
"85","gg","NA","NA"
"86","lost","201","NA"
"87","never","25","192"
"88","except","204","NA"
"89","can","NA","5"
"90","away","129","262"
"91","getting","88","182"
"92","battery","NA","15"
"93","stay","193","NA"
"94","matter","338","NA"
"95","mobile","NA","288"
"96","seem","NA","441"
"97","far","NA","69"
"98","sure","153","155"
"99","every","106","208"
"100","way","375","62"
"101","cellular","NA","NA"
"102","constantly","420","NA"
"103","usually","NA","NA"
"104","places","NA","NA"
"105","possible","NA","NA"
"106","ok","NA","NA"
"107","download","118","NA"
"108","good","NA","13"
"109","cell","NA","NA"
"110","minutes","58","NA"
"111","although","NA","199"
"112","charge","57","215"
"113","means","NA","393"
"114","well","NA","22"
"115","quickly","NA","364"
"116","area","NA","NA"
"117","just","19","7"
"118","life","NA","35"
"119","now","14","29"
"120","fi","NA","NA"
"121","pretty","NA","96"
"122","easily","NA","183"
"123","lose","NA","NA"
"124","bgn","NA","NA"
"125","yet","234","130"
"126","speeds","NA","NA"
"127","n","NA","NA"
"128","since","52","81"
"129","anything","77","263"
"130","charging","181","296"
"131","etc","NA","132"
"132","reliable","NA","NA"
"133","needed","163","319"
"134","tether","NA","NA"
"135","capability","NA","NA"
"136","least","249","273"
"137","else","171","391"
"138","location","NA","NA"
"139","browser","NA","285"
"140","laptop","NA","26"
"141","tethering","NA","NA"
"142","settings","442","NA"
"143","within","119","NA"
"144","everything","NA","115"
"145","routers","NA","NA"
"146","gets","NA","318"
"147","know","39","136"
"148","breeze","NA","NA"
"149","somewhere","NA","NA"
"150","option","NA","451"
"151","tablet","227","1"
"152","available","NA","147"
"153","sometimes","NA","453"
"154","unable","237","NA"
"155","must","214","294"
"156","another","27","158"
"157","system","NA","93"
"158","thing","152","52"
"159","one","1","8"
"160","turning","NA","NA"
"161","may","448","120"
"162","great","NA","11"
"163","computer","309","46"
"164","verizon","NA","NA"
"165","almost","241","190"
"166","goes","345","NA"
