"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"167","browsing","NA","272"
"168","working","45","464"
"169","noticed","363","NA"
"170","excellent","NA","170"
"171","public","NA","NA"
"172","otherwise","NA","NA"
"173","poor","175","NA"
"174","went","46","NA"
"175","try","55","382"
"176","hooking","NA","NA"
"177","downloading","339","NA"
"178","besides","NA","NA"
"179","got","7","128"
"180","hook","NA","NA"
"181","simply","NA","256"
"182","reason","203","279"
"183","long","400","124"
"184","running","NA","203"
"185","going","100","143"
"186","mine","122","478"
"187","rather","NA","386"
"188","usb","NA","27"
"189","reconnect","NA","NA"
"190","stream","NA","NA"
"191","easy","NA","108"
"192","keep","432","236"
"193","times","81","380"
"194","tab","NA","25"
"195","tested","NA","NA"
"196","cons","NA","214"
"197","dropping","NA","NA"
"198","nothing","49","335"
"199","cable","NA","343"
"200","full","NA","63"
"201","everywhere","NA","NA"
"202","feet","NA","NA"
"203","locations","NA","NA"
"204","immediately","160","NA"
"205","wi","NA","NA"
"206","hours","65","100"
"207","hooked","NA","NA"
"208","seconds","479","NA"
"209","bad","117","213"
"210","fire","NA","NA"
"211","disconnects","NA","NA"
"212","password","495","NA"
"213","pc","NA","NA"
"214","less","386","116"
"215","online","108","NA"
"216","will","5","9"
"217","t","NA","NA"
"218","quick","NA","385"
"219","around","NA","67"
"220","yes","NA","276"
"221","decent","NA","459"
"222","performance","NA","129"
"223","want","NA","43"
"224","us","NA","NA"
"225","took","43","NA"
"226","turns","NA","NA"
"227","signals","NA","NA"
"228","streaming","NA","NA"
"229","unfortunately","228","NA"
"230","two","31","107"
"231","capable","NA","NA"
"232","done","282","329"
"233","apparently","290","NA"
"234","kept","158","NA"
"235","frequently","NA","NA"
"236","email","213","363"
"237","maybe","287","399"
"238","anyway","NA","NA"
"239","right","162","72"
"240","surfing","NA","NA"
"241","actually","NA","148"
"242","rarely","NA","NA"
"243","simple","NA","471"
"244","appears","NA","NA"
"245","see","149","75"
"246","antenna","NA","NA"
"247","place","450","NA"
"248","already","216","198"
"249","enabled","NA","NA"
"250","service","28","NA"
"251","extremely","404","390"
"252","stable","NA","NA"
"253","security","NA","NA"
"254","overall","NA","121"
"255","said","36","303"
"256","first","12","53"
"257","phones","NA","418"
"258","make","242","77"
"259","think","NA","51"
"260","enough","NA","110"
"261","remember","NA","NA"
"262","drop","NA","NA"
"263","check","424","NA"
"264","power","419","86"
"265","secure","NA","NA"
"266","starbucks","NA","NA"
"267","faster","NA","223"
"268","day","26","145"
"269","low","NA","NA"
"270","fairly","NA","NA"
"271","something","NA","111"
"272","kindle","NA","NA"
"273","loses","NA","NA"
"274","feature","NA","269"
"275","reboot","269","NA"
"276","guess","176","NA"
"277","account","NA","NA"
"278","many","NA","54"
"279","video","NA","98"
"280","bars","NA","NA"
"281","like","NA","6"
"282","spots","NA","NA"
"283","live","232","NA"
"284","might","NA","191"
"285","finding","NA","NA"
"286","free","NA","409"
"287","things","NA","80"
"288","capabilities","NA","NA"
"289","therefore","NA","NA"
"290","load","NA","NA"
"291","iphone","NA","156"
"292","probably","NA","193"
"293","wish","NA","338"
"294","picked","NA","NA"
"295","days","17","242"
"296","whenever","NA","NA"
"297","nice","NA","49"
"298","quite","NA","118"
"299","really","NA","16"
"300","touch","NA","39"
"301","room","NA","NA"
"302","takes","NA","350"
"303","trying","68","NA"
"304","says","123","NA"
"305","take","218","90"
"306","instead","346","284"
"307","plugged","280","NA"
"308","several","97","349"
"309","especially","NA","200"
"310","lot","NA","66"
"311","camera","NA","48"
"312","card","278","95"
"313","videos","NA","337"
"314","losing","NA","NA"
"315","secured","NA","NA"
"316","deal","NA","243"
"317","outside","NA","NA"
"318","occasionally","NA","NA"
"319","others","311","275"
"320","storage","NA","261"
"321","near","NA","NA"
"322","plus","NA","176"
"323","ethernet","NA","NA"
"324","screen","NA","3"
"325","hotel","NA","NA"
"326","wherever","NA","NA"
"327","road","NA","NA"
"328","much","NA","17"
"329","printer","NA","NA"
"330","happy","233","222"
"331","thought","79","388"
"332","charger","141","414"
"333","net","NA","NA"
"334","xoom","NA","33"
"335","require","NA","NA"
"336","downloaded","335","NA"
"337","market","NA","131"
"338","charged","143","NA"
"339","adapter","NA","339"
"340","store","NA","336"
"341","longer","210","484"
"342","checked","300","NA"
"343","computers","466","467"
"344","tethered","NA","NA"
"345","google","NA","252"
"346","instantly","NA","NA"
"347","due","441","268"
"348","flash","NA","73"
"349","leave","NA","NA"
"350","next","72","300"
"351","constant","NA","NA"
"352","people","436","92"
"353","registered","427","NA"
"354","local","387","NA"
"355","dsl","NA","NA"
"356","sign","NA","NA"
"357","come","110","196"
"358","android","NA","10"
"359","price","NA","50"
"360","maintain","NA","NA"
"361","purchase","70","270"
"362","options","NA","375"
"363","hdmi","NA","149"
"364","broadband","NA","NA"
"365","desktop","NA","164"
"366","archos","182","NA"
"367","intermittent","NA","NA"
"368","best","NA","42"
"369","despite","NA","NA"
"370","navigation","NA","NA"
"371","searching","NA","NA"
"372","app","NA","119"
"373","dropped","260","NA"
"374","traveling","NA","NA"
"375","downloads","NA","NA"
"376","today","89","NA"
"377","cloud","NA","NA"
"378","provider","NA","NA"
"379","requires","NA","NA"
"380","built","NA","161"
"381","ipad","NA","2"
"382","kit","NA","NA"
"383","lock","NA","NA"
"384","run","NA","138"
"385","soon","147","345"
"386","keeps","NA","NA"
"387","apps","NA","24"
"388","experienced","NA","NA"
"389","areas","NA","NA"
"390","limited","NA","NA"
"391","forget","NA","NA"
"392","keyboard","NA","12"
"393","couple","164","357"
"394","movies","NA","NA"
"395","function","NA","NA"
"396","better","NA","18"
"397","update","29","122"
"398","accessing","NA","NA"
"399","none","355","NA"
"400","ever","107","281"
"401","close","NA","342"
"402","normal","NA","NA"
"403","tv","NA","NA"
"404","recognized","NA","NA"
"405","new","11","47"
"406","kf","NA","NA"
"407","port","NA","101"
"408","buy","13","76"
"409","recommend","NA","165"
"410","product","2","127"
"411","expect","NA","368"
"412","high","NA","232"
"413","model","296","245"
"414","support","20","210"
"415","touchscreen","NA","398"
"416","ability","NA","389"
"417","anyone","206","370"
"418","coverage","NA","NA"
"419","netflix","NA","NA"
"420","box","37","NA"
"421","end","NA","290"
"422","plug","NA","411"
"423","required","NA","NA"
"424","say","105","78"
"425","little","NA","57"
"426","luck","205","NA"
"427","watch","NA","NA"
"428","consistently","NA","NA"
"429","content","NA","NA"
"430","line","145","NA"
"431","started","67","NA"
"432","sync","NA","NA"
"433","showed","342","NA"
"434","10.8813579082489,","NA","NA"
"435","shows","NA","NA"
"436","annoying","NA","NA"
"437","super","NA","491"
"438","basically","NA","NA"
"439","11.4304170608521,","NA","NA"
"440","light","NA","106"
"441","amazon","74","NA"
"442","quality","NA","45"
"443","ease","NA","NA"
"444","music","NA","NA"
"445","obviously","NA","NA"
"446","brightness","NA","351"
"447","surf","NA","NA"
"448","disconnected","NA","NA"
"449","test","NA","NA"
"450","completely","188","NA"
"451","knew","351","NA"
"452","last","85","249"
"453","believe","192","403"
"454","version","NA","123"
"455","updated","370","NA"
"456","happens","409","NA"
"457","reset","109","NA"
"458","uses","NA","397"
"459","adhoc","NA","NA"
"460","makes","NA","89"
"461","solution","343","NA"
"462","youtube","NA","NA"
"463","finally","60","NA"
"464","read","NA","396"
"465","returned","75","NA"
"466","spotty","NA","NA"
"467","slower","NA","NA"
"468","enter","NA","NA"
"469","mbps","NA","NA"
"470","responsive","NA","224"
"471","external","NA","278"
"472","flawlessly","NA","NA"
"473","log","NA","NA"
"474","pay","93","NA"
"475","allow","NA","NA"
"476","browse","NA","NA"
"477","start","159","448"
"478","receiver","NA","NA"
"479","recognize","497","NA"
"480","lack","NA","289"
"481","playbook","NA","83"
"482","display","NA","94"
"483","mifi","NA","NA"
"484","fix","73","NA"
"485","server","NA","NA"
"486","depending","NA","NA"
"487","printing","NA","NA"
"488","galaxy","NA","38"
"489","functionality","NA","321"
"490","stays","NA","NA"
"491","samsung","NA","40"
"492","major","NA","NA"
"493","awesome","NA","221"
"494","part","347","331"
"495","tablets","NA","20"
"496","silk","NA","NA"
"497","addition","NA","NA"
"498","wrong","131","NA"
"499","register","256","NA"
"500","seen","NA","384"
